author.name,date,text,geo.coordinates.coordinates,geo.geo.bbox,geo.name,hate_pred,emotion_pred,borough,latitude,longitude
ToBi,2022-10-03 01:45:14+00:00,"But as funny as it sounds, most women are not funny. They laugh at our jokes!!!",,"[-0.080526, 51.3434174, 0.1331237, 51.4452233]",Bromley,sexism,joy,Bromley,51.4028046,0.0148142
Xanthe Clay,2022-10-03 07:10:31+00:00,@markstott123 Apparently females have dark stripes. (My friend says!),,"[-0.074547, 51.414087, 0.038567, 51.494127]",Lewisham,sexism,anticipation,Lewisham,51.4624292,-0.0101787
Watson,2022-10-03 09:10:03+00:00,Men are actually fucking trash https://t.co/7ilUNDxyDk,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,anger,Camberwell,51.4745706,-0.0925416
Elle Voss,2022-10-03 10:10:52+00:00,"I want a girl with a short skirt and a long, long jacket https://t.co/FB9TCY5RU2",,"[-0.510364798739281, 51.2867019756122, 0.334043461659515, 51.6918240878432]",London,sexism,joy,London,51.5073359,-0.12765
Wothi Shandu,2022-10-03 11:39:01+00:00,Women are not nice. https://t.co/k96YEpzunf,,"[-0.080028, 51.48432, 0.009989, 51.545341]",Poplar,sexism,anger,Poplar,51.5110713,-0.0144629
Dr Nick 🏳️‍🌈,2022-10-03 12:29:58+00:00,"@MaelJade_ @diannaeanderson @KatyMontgomerie Well known feminist take ""Child rearing is women's work""",,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,sexism,anticipation,Lambeth,51.4952111,-0.1163354
LondonTaxiPR,2022-10-03 12:57:13+00:00,@rosko99 @stephenhdg If signage is correct it will be a man who will have the license.,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,anticipation,London,51.5073359,-0.12765
Caroline ☘,2022-10-03 15:04:48+00:00,@halford_rosie She is a he - and until he's had the full op - he can stay out of womens toilets/bathrooms,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
FranCfc ⭐️⭐️🏴󠁧󠁢󠁳󠁣󠁴󠁿🇨🇦,2022-10-03 15:24:44+00:00,@EuropeanBob7 Or is it girls wearing hats ?,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,anticipation,Croydon,51.3713049,-0.101957
monogamous whore,2022-10-03 16:19:39+00:00,when will men learn that they can’t just “let you know later” i need prep time bb!,,"[-0.080028, 51.48432, 0.009989, 51.545341]",Poplar,sexism,anger,Poplar,51.5110713,-0.0144629
IS THERE A BUDGET?,2022-10-03 18:13:57+00:00,A girls got taste https://t.co/BG2EDIlfCa,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,joy,Camberwell,51.4745706,-0.0925416
🎧,2022-10-03 20:32:40+00:00,God forgive you Niggas https://t.co/hsT7rufRqs,,"[-0.457966, 51.420633, -0.243419, 51.502851]",Hounslow,racism,anger,Hounslow,51.4686132,-0.3613471
Rob Driscoll,2022-10-03 21:51:58+00:00,"“Screw feminism - pun intended!” What pun, Jenny? I don’t get it. #Corrie",,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,anger,Croydon,51.3713049,-0.101957
Gen Williams 🐙 genwilliams@mstdn.party 🦣,2022-10-03 21:54:49+00:00,"@j_samu3ls @LRomansNotebook @mercash22 @dunnpress1923 (Women’s ⚽️, that is)",,"[-0.074547, 51.414087, 0.038567, 51.494127]",Lewisham,sexism,joy,Lewisham,51.4624292,-0.0101787
Jambo Stuart-Clarke,2022-10-04 02:51:59+00:00,Just in case people needed reminding of how fucking weird Hong Kong is right now... https://t.co/JepdrNNOIz,,"[-0.39216, 51.391383, -0.221832, 51.489646]",Richmond,racism,anger,Richmond,51.4613531,-0.3032767
Sex Life In Zambia,2022-10-04 05:23:57+00:00,What Men mean when they say they need a wife Material.😘😂 Thread...,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
Sex Life In Zambia,2022-10-04 05:24:01+00:00,A woman who has respect for her husband. https://t.co/xTO0qF0X27,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,optimism,Camden Town,51.5423045,-0.1395604
Sex Life In Zambia,2022-10-04 05:24:06+00:00,A woman who can clean. https://t.co/EABm9Y3Xn6,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,optimism,Camden Town,51.5423045,-0.1395604
Sex Life In Zambia,2022-10-04 05:24:12+00:00,A woman who can feed your animals and do gardening. https://t.co/Ya4NoMaQE7,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,joy,Camden Town,51.5423045,-0.1395604
IAmKilenem,2022-10-04 07:24:38+00:00,"@Rap Dope, I need a woman that I can print shirts for and have matching designs",,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,anticipation,London,51.5073359,-0.12765
Mr Darko,2022-10-04 09:47:28+00:00,Women talk stupid too. What is this ? https://t.co/whidgpUZgW,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,sexism,anger,Lambeth,51.4952111,-0.1163354
knives,2022-10-04 09:54:14+00:00,@EuphoriTori Men are too cute to be in heaven,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,joy,London,51.5073359,-0.12765
Don ARTekkerz 👽🔴🇵🇸,2022-10-04 11:07:04+00:00,"Men want to date a handful, until it actually comes to dating a handful 😅",,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,joy,London,51.5073359,-0.12765
Mohd Hussain,2022-10-04 11:43:04+00:00,Girls put everything on their stories except the man they went out with.🙌🏻,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,joy,London,51.5073359,-0.12765
Stevie Nic M🇬🇧GA 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸🇮🇹🇮🇱 COYG,2022-10-04 12:32:46+00:00,@Spiritofgaia0 @GBNEWS Only way to stop it is give them nothing.. But we're led by Pussys,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
G*ul*a,2022-10-04 12:46:59+00:00,Men who regularly post shirtless pics are fucking whores,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anger,Camden Town,51.5423045,-0.1395604
DirtyLeeds #LUFC #MOT 💙💛🤍,2022-10-04 13:58:57+00:00,"@Bielsaball28 No, got to be when she comes out of the bedroom….",,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,anticipation,Wandsworth,51.4570271,-0.1932607
Ray Reddington,2022-10-04 16:26:52+00:00,@005e5n Please Lord let the females with this mentality stay far far away from me and friends.,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,anger,Camberwell,51.4745706,-0.0925416
king Salom 👑,2022-10-04 16:49:59+00:00,All women do is lie. https://t.co/kzrpZrQu2u,,"[-0.254563, 51.463873, -0.177653, 51.532901]",Hammersmith,sexism,anger,Hammersmith,51.4920377,-0.2236401
Mercuzio,2022-10-04 17:43:34+00:00,Fight the real enemy. Fuck religion. https://t.co/eEMPkyDRAI,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,religion,anger,Lambeth,51.4952111,-0.1163354
confirmed cigarette,2022-10-04 18:58:25+00:00,Pro tip: men are time wasters. Ignore them all.,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
Kasimiira Kontio,2022-10-04 19:55:34+00:00,petition to ban men https://t.co/0v0nQsEZJb,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
Irma Grace,2022-10-04 21:47:05+00:00,Female rappers confused about how talented they are,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
James,2022-10-04 21:51:56+00:00,@YeastyBoi11 TERFs just making up shit to get upset about,,"[-0.39216, 51.391383, -0.221832, 51.489646]",Richmond,sexism,anger,Richmond,51.4613531,-0.3032767
Kate Lewis,2022-10-05 20:18:01+00:00,Males under retirement age playing golf: ick,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anger,Camden Town,51.5423045,-0.1395604
Prioritise Paul,2022-10-06 00:04:40+00:00,@MikeBaggz OK homophobe,,"[-0.074547, 51.414087, 0.038567, 51.494127]",Lewisham,sexual_orientation,anger,Lewisham,51.4624292,-0.0101787
Andrew Forman,2022-10-06 07:10:28+00:00,Twat https://t.co/FsCfxRvw9Y,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
Hassan Rasheed,2022-10-06 08:01:20+00:00,Women team performances are so shit. Same old players with groups nothing else,,"[-0.5086841, 51.4551164, -0.3760375, 51.619006]",Hillingdon,sexism,anger,Hillingdon,51.542519299999995,-0.44833493117949663
Olufemi,2022-10-06 18:24:58+00:00,When will a man rest,,"[-0.104501, 51.518605, -0.015834, 51.5766844]",Hackney,sexism,sadness,Hackney,51.5432402,-0.0493621
Twisted,2022-10-06 19:07:29+00:00,"I’d use it on my bussy when she’s out, AND my bussy squirts, HA! Jokes on her. https://t.co/seqryZSYen",,"[-0.104501, 51.518605, -0.015834, 51.5766844]",Hackney,sexism,joy,Hackney,51.5432402,-0.0493621
Odogwu,2022-10-06 21:42:21+00:00,I like ass and boobs but women are still not good people. https://t.co/337DZ2Yho8,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,anger,Croydon,51.3713049,-0.101957
"jane Gray, 💜WOMAN adult human female🇺🇦",2022-10-06 22:21:31+00:00,Women have vaginas.,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
Odogwu,2022-10-06 23:13:34+00:00,Moral of the story : FEAR WOMEN,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,fear,Croydon,51.3713049,-0.101957
Odogwu,2022-10-07 00:22:55+00:00,Women dey always get backup.,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,anticipation,Croydon,51.3713049,-0.101957
Odogwu,2022-10-07 00:23:06+00:00,Women are always blaming men.,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,anger,Croydon,51.3713049,-0.101957
Odogwu,2022-10-07 00:43:23+00:00,You go dey trust woman,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,optimism,Croydon,51.3713049,-0.101957
Snow White,2022-10-07 10:34:24+00:00,"Men always have this magnet of sticking a finger in a hole, no matter what the hole is....🤔 https://t.co/j0HjdDqysK",,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,disgust,Croydon,51.3713049,-0.101957
Peter Bridgman 🇺🇦,2022-10-07 11:50:12+00:00,"@tcbtttc @YesWombat @SandPatterson @Fergie_Kate @Scot_Feminists I stand corrected, but it looks different on a woman.",,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
D.Emery,2022-10-07 13:42:08+00:00,@ChrissySense Fuck me backwards. I’ve seen some scummy racist bigoted tweets in my time but this is an all time great. You know Islam is a religion right? Now get in the sea - it’s full of turds - you’ll be at home.,,"[-0.39216, 51.391383, -0.221832, 51.489646]",Richmond,religion,anger,Richmond,51.4613531,-0.3032767
Odogwu,2022-10-07 15:37:28+00:00,"Once again, FEAR WOMEN.",,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,sexism,fear,Lambeth,51.4952111,-0.1163354
Susan McLellan,2022-10-07 18:37:27+00:00,Cue angry middle aged men moaning about female football commentators #ENGUSA #Lionesses https://t.co/YzanxG8iSl,,"[-0.510364798739281, 51.2867019756122, 0.334043461659515, 51.6918240878432]",London,sexism,anger,London,51.5073359,-0.12765
charl,2022-10-07 18:46:06+00:00,women are trash👍,,"[-0.080028, 51.48432, 0.009989, 51.545341]",Poplar,sexism,anger,Poplar,51.5110713,-0.0144629
UKinSFO #takebackBritain,2022-10-07 18:57:52+00:00,@terifar333 @Louise00flour @Arun_S_Joshi @RichardJMurphy No no no she’s male-orientated. Apparently goes through young SPADs like a dose of salts ….,,"[-0.2160701, 51.5098789, -0.1301597, 51.5397916]",Paddington,sexism,anticipation,Paddington,51.5154795,-0.175365
NOISY ALIEN HUNTER,2022-10-07 20:00:08+00:00,SYLPH Aliens call them wtf you like all's I know they are trillions of transparent tiny shape shifting Alien monsters swarming the whole solar system effecting every planet and moon in the solar system now you just can't see them with the nakid eyes use filters to see them? https://t.co/J5AaTD3io6,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,racism,anger,Camberwell,51.4745706,-0.0925416
C,2022-10-08 00:59:59+00:00,"@NabiyaKhan11 @priyankachopra F""CK OFF ISLAMIST PREACHER!!!\nTake your oppressive hijab and sh0ve it up your Halul assh0le!",,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,religion,anger,London,51.5073359,-0.12765
Plumes 🏳️‍🌈🇺🇦,2022-10-08 09:36:36+00:00,@AyaReina It just doesn't enter their heads we might not want a boy,,"[0.140821, 51.500544, 0.280358, 51.62063]",Romford,sexism,anticipation,Romford,51.5760462,0.1822646
cristina de balanzo,2022-10-08 10:00:57+00:00,"Wondering why most newish mattresses brands are female names…oh yeah,  probably same reasons as voice assistants do, sweet, is it? #genderedworld",,"[-0.510364798739281, 51.2867019756122, 0.334043461659515, 51.6918240878432]",London,sexism,anticipation,London,51.5073359,-0.12765
yi.mi.ka 🇳🇬,2022-10-08 11:01:48+00:00,Not policing women but common gym etiquette. I would not wnna see a man’s cheeks in front of me either when I’m fighting for me life on the leg press machine. https://t.co/HVWJTUPpAT,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,anger,Camberwell,51.4745706,-0.0925416
mimi 🦇 riot fest survivor 2022,2022-10-08 13:13:39+00:00,why is dressing like a total slut on halloween just a girl thing I think men should do that,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,anger,Camberwell,51.4745706,-0.0925416
Henrald,2022-10-08 17:01:00+00:00,Oh but if I was a girl I would have been Suzanne https://t.co/RBoNf6IfBY,,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,joy,Wandsworth,51.4570271,-0.1932607
Bernie Manning,2022-10-08 17:15:24+00:00,@Rob_Kimbell Spot the females 🤦‍♀️…apart from the one imported appointment.,,"[-0.080526, 51.3434174, 0.1331237, 51.4452233]",Bromley,sexism,anticipation,Bromley,51.4028046,0.0148142
"Kully, @kul@mastodon.world",2022-10-08 17:22:06+00:00,"@Stuzipants Vile. Won't say ladies, because they aren't",,"[-0.5086841, 51.4551164, -0.3760375, 51.619006]",Hillingdon,sexism,anger,Hillingdon,51.542519299999995,-0.44833493117949663
Ivan L Petrov 伊凡🇺🇦,2022-10-08 17:51:47+00:00,You gotta lower your ideals of freedom if you wanna suck on the warm teat of China.,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,racism,anger,Lambeth,51.4952111,-0.1163354
Dutch Gundersen,2022-10-08 18:13:59+00:00,@DJG1951 @stonewines @deyabrewery @VerdantBrew Mrs G tells me to keep hydrated… so what’s a man to do? 🤣,,"[-0.2925791, 51.555179, -0.12921, 51.6685903]",Barnet,sexism,joy,Barnet,51.65309,-0.2002261
Paula Griffin 🏳️‍⚧️ 💙💖🤍💖💙,2022-10-08 20:52:26+00:00,@izzielarche @Shaun_Baker2012 @BethFisherSport I’ve heard the “it’s just fun” or “it’s just banter” trumpeted from male supporters for so long. What I enjoy most playing &amp; watching football with other woman is just how positive we can be. Not grinding down our opponents but lifting up our teams &amp; our teammates,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,joy,Camberwell,51.4745706,-0.0925416
𝖄𝖆𝖘𝖒𝖎𝖓 🖤,2022-10-09 00:58:41+00:00,Why is every girl on my fyp going copper? Stay In your lane,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anger,Camden Town,51.5423045,-0.1395604
C,2022-10-09 01:36:49+00:00,@wantsyouloved @JPN_PMO @sentdefender Not really when its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:37:37+00:00,@wantsyouloved \nNot really when its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan https://t.co/9Zctxk6TB7,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:37:50+00:00,@MetalDragon_CSY @wantsyouloved @JPN_PMO @sentdefender Not really when its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:37:57+00:00,Not really when its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan https://t.co/2KbMdOjQsX,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:39:03+00:00,@chaiteawhatae @JPN_PMO It's probably being done on the instruction of #XiJinping and the China/#CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:40:55+00:00,@Fripi @Harriso54061469 @JPN_PMO Funny thing is... #NorthKorea is China's little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,joy,London,51.5073359,-0.12765
C,2022-10-09 01:41:26+00:00,@imnottristanp @JPN_PMO #NorthKorea is China's little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:42:16+00:00,@arunningriot @JPN_PMO @IntelCrab Nope... actually #NorthKorea is China's little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,disgust,London,51.5073359,-0.12765
C,2022-10-09 01:43:51+00:00,#NorthKorea is China's little pet lap dog... ...those missiles they've been launching... are funded by China and are going out on the instruction of #XiJinping and the #CCP!\n\n#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,anger,London,51.5073359,-0.12765
M,2022-10-09 10:55:33+00:00,Open up yer bastards https://t.co/e3FZLRn8cf,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,racism,anger,Lambeth,51.4952111,-0.1163354
Odogwu,2022-10-09 11:15:26+00:00,Don't. Women are not good people. https://t.co/AW4tIRHBdx,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,sadness,Croydon,51.3713049,-0.101957
Charlie M,2022-10-09 19:21:15+00:00,Men with goatees: why?,,"[-0.457966, 51.420633, -0.243419, 51.502851]",Hounslow,sexism,disgust,Hounslow,51.4686132,-0.3613471
Odogwu,2022-10-09 21:30:54+00:00,Women don't deserve peace.,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,sadness,Croydon,51.3713049,-0.101957
Beverley,2022-10-10 01:20:44+00:00,@jemelehill F these Arsewipes whose ancestors were the worst kind of species to exist &amp; it still shows today. Black men are not good but white pirates who stole Black people bring them over to build the country they stole from another race are the good people &amp; Blacks are not seriously🙄,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,racism,anger,London,51.5073359,-0.12765
Wayne sumner,2022-10-10 08:49:03+00:00,@93Matty24 Didn’t Perry make a comment after the mankad in the England v India womens game…I’d only do it against England,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,anticipation,London,51.5073359,-0.12765
Caz Young,2022-10-10 09:18:06+00:00,I hope the 'females' in his house kick him out and crank up the heating. https://t.co/I4XbKpWZdG,,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,anger,Wandsworth,51.4570271,-0.1932607
Cosmo Queen,2022-10-10 10:56:04+00:00,small hint: the sexiest thing a man could do is invite me on a date via Google Calendar,,"[-0.112442, 51.5068, -0.0733794, 51.522161]",City of London,sexism,joy,City of London,51.5156177,-0.0919983
Jimmy Anderson 🏛🇺🇦,2022-10-10 12:53:18+00:00,@stpaulswesthack @hughesdonjames @FrDidymus @dioceseoflondon @StMaryOfEton @stmatthewsbg @emmanuelnw6 Cracking idea (..a female dea),,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,surprise,Islington,51.5384287,-0.0999051
chloe💫,2022-10-10 18:58:49+00:00,Men are so disappointing but unsurprising I’m looking at you Rex Orange County you vile piece of shit,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,sexism,anger,Lambeth,51.4952111,-0.1163354
Shmergel Flonk,2022-10-11 06:32:02+00:00,@EuphoriTori Women are not allowed in this house and I am going out to dinner.,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,anger,London,51.5073359,-0.12765
Sheena,2022-10-11 12:26:48+00:00,Fuck the times. Fuck terfs,,"[-0.080028, 51.48432, 0.009989, 51.545341]",Poplar,religion,anger,Poplar,51.5110713,-0.0144629
Matthew Carter,2022-10-11 17:02:36+00:00,@TomTalksCars Twat,,"[-0.074547, 51.414087, 0.038567, 51.494127]",Lewisham,sexism,anger,Lewisham,51.4624292,-0.0101787
Sporting Images,2022-10-11 20:25:35+00:00,@newblueprint @ArchRose90 Or woman Reg ….,,"[-0.080526, 51.3434174, 0.1331237, 51.4452233]",Bromley,sexism,anticipation,Bromley,51.4028046,0.0148142
Him Jones,2022-10-11 20:54:15+00:00,"Spin it around a man, roll the opposite side, body him and then tuck it away is much more difficult",,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,disgust,Camberwell,51.4745706,-0.0925416
flo stan acc,2022-10-11 21:19:38+00:00,men don’t want love,,"[-0.1114755, 51.4194247, -0.0297308, 51.509947]",Camberwell,sexism,sadness,Camberwell,51.4745706,-0.0925416
Antonis Petrides,2022-10-11 21:29:43+00:00,@Ex_arv_sgt These pussies will never dare try this in any other country.,,"[-0.2925791, 51.555179, -0.12921, 51.6685903]",Barnet,sexism,anger,Barnet,51.65309,-0.2002261
🇺🇦💖🌸 Shellytgirl 💖🌸 🔞,2022-10-11 22:51:10+00:00,@Darrrencanfield Yes a lot of Women’s labidos go down whilst mens go sky high !,,"[0.140821, 51.500544, 0.280358, 51.62063]",Romford,sexism,anticipation,Romford,51.5760462,0.1822646
Peter Bridgman 🇺🇦,2022-10-12 08:03:44+00:00,@Bruschetta_Boy If only she was female.,,"[-0.213503, 51.512805, -0.105303, 51.572068]",Camden Town,sexism,anticipation,Camden Town,51.5423045,-0.1395604
Odogwu,2022-10-12 10:03:37+00:00,Fear Women,,"[-0.161749, 51.294332, -0.023517, 51.42353]",Croydon,sexism,fear,Croydon,51.3713049,-0.101957
Sam (Flower Girl) Jennings,2022-10-12 10:42:55+00:00,@SajdaMughal Because women end up having to put their careers on the back burner when they have kids.,,"[-0.15191, 51.410792, -0.078902, 51.509887]",Lambeth,sexism,sadness,Lambeth,51.4952111,-0.1163354
dallas the blogger,2022-10-12 13:50:30+00:00,kim jong un serving cunt??,,"[-0.1420579, 51.5185518, -0.076305, 51.575301]",Islington,sexism,anger,Islington,51.5384287,-0.0999051
Kooky_Loves_Life,2022-10-12 14:01:03+00:00,Why are men so easily confused by timings?😩\n\n#mantime #womanproblems,,"[-0.187894, 51.483718, -0.109978, 51.5164655]",London,sexism,disgust,London,51.5073359,-0.12765
WayneBattersea,2022-10-12 15:24:46+00:00,@subject_beam @JamesDarcey98 @TreySparksX @livefreeordavid look up at men dot com,,"[-0.259465, 51.417277, -0.127974, 51.486036]",Wandsworth,sexism,anticipation,Wandsworth,51.4570271,-0.1932607
peter jones,2022-10-12 15:46:07+00:00,@terrychristian Twat,,"[-0.080028, 51.48432, 0.009989, 51.545341]",Poplar,sexism,anger,Poplar,51.5110713,-0.0144629
